"Name";"MachineID";"SerialNumber";"MACAddress";"DeviceOS";"DeviceOSBuild";"IsActive";"ClientVersion";"ClientActiveStatus";"ClientRemediationSuccess";"IsVirtualMachine";"ADSiteName";"LastSuccessSyncTimeUTC";"LastStatusMessage";"LastMPServerName";"LastPolicyRequest";"LastDDR";"LastHardwareScan";"LastSoftwareScan";"LastActiveTime";"LastClientCheckTime";"ClientCheckPass";"OperatingSystem";"LastLogon";"whenCreated"
"PC684";"2097156261";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"26.11.2023 16:03:54";"05.12.2018 13:36:54"
"LP816";"2097156292";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"18.12.2023 07:05:54";"28.03.2022 12:40:19"
"LP469";"2097156295";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"20.12.2023 14:59:00";"12.02.2018 15:31:40"
"LP523";"2097156335";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"10.01.2024 10:36:59";"05.12.2018 07:49:52"
"PC1446";"2097156366";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"16.01.2024 15:42:39";"16.01.2024 15:42:37"
"PC995";"2097156353";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"18.01.2024 05:56:30";"12.05.2021 12:46:47"
"LP665";"2097156364";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 11 Pro";"18.01.2024 07:04:13";"19.04.2023 09:48:41"
"PC303";"2097156231";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"18.01.2024 12:01:00";"18.01.2024 12:01:00"
"LP962";"2097156365";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"Maschinenbau";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"19.01.2024 07:53:18";"16.02.2023 13:39:58"
"LP510";"2097156376";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"22.01.2024 06:24:18";"19.09.2018 12:46:46"
"PC508";"2097156379";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"25.01.2024 07:53:25";"21.03.2016 15:01:08"
"PC783";"2097156368";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"26.01.2024 11:35:25";"17.12.2019 15:49:21"
"LP503";"2097156377";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"29.01.2024 05:23:20";"12.09.2018 13:24:27"
"PC1193";"2097156394";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"29.01.2024 07:49:03";"02.09.2022 15:41:52"
"PC1252";"2097156378";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"30.01.2024 08:14:52";"28.02.2023 08:10:21"
"LP682";"16778015";"BRGSQ93";"00:05:9A:3C:7A:00, 1C:99:57:08:C4:5B";"Microsoft Windows NT Workstation 10.0";"10.0.19045.3930";"1";"5.00.9122.1000";"0";"";"False";"Maschinenbau";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"13.02.2024 12:21:15";"13.02.2024 07:52:10";"13.02.2024 11:28:43";"13.02.2024 08:26:10";"13.02.2024 12:21:15";"21.11.2023 07:05:49";"1";"Windows 10 Pro";"05.02.2024 07:06:44";"18.06.2021 11:57:53"
"PC504";"16777422";"66Y88C2";"64:00:6A:8A:51:20";"Microsoft Windows NT Workstation 10.0";"10.0.19045.3930";"1";"5.00.9122.1000";"0";"1";"False";"Varazdin";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"13.02.2024 13:00:13";"13.02.2024 10:37:22";"12.02.2024 21:53:15";"13.02.2024 11:27:25";"13.02.2024 13:00:13";"12.02.2024 22:00:54";"1";"Windows 10 Pro";"07.02.2024 13:57:37";"02.11.2017 15:07:19"
"PC843";"2097156393";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"Trnovec";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"07.02.2024 22:04:13";"27.08.2020 08:57:08"
"LP786";"2097156232";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"Maschinenbau";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"08.02.2024 10:30:45";"08.02.2024 10:30:44"
"PC516";"16777240";"67F58C2";"64:00:6A:8A:57:5B";"Microsoft Windows NT Workstation 10.0";"10.0.19045.3930";"1";"5.00.9122.1000";"0";"";"False";"Varazdin";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"12.02.2024 10:02:54";"12.02.2024 07:37:50";"11.02.2024 19:37:44";"12.02.2024 08:00:37";"12.02.2024 10:02:54";"03.02.2024 05:01:56";"1";"Windows 10 Pro";"08.02.2024 11:55:47";"12.05.2016 15:54:25"
