"Name";"MachineID";"SerialNumber";"MACAddress";"DeviceOS";"DeviceOSBuild";"IsActive";"ClientVersion";"ClientActiveStatus";"ClientRemediationSuccess";"IsVirtualMachine";"ADSiteName";"LastSuccessSyncTimeUTC";"LastStatusMessage";"LastMPServerName";"LastPolicyRequest";"LastDDR";"LastHardwareScan";"LastSoftwareScan";"LastActiveTime";"LastClientCheckTime";"ClientCheckPass";"OperatingSystem";"LastLogon";"whenCreated"
"TEST";"2097156083";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"11.03.2019 10:45:08";"14.02.2019 10:12:04"
"SCCMUS";"2097156087";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"07.02.2023 10:50:38";"19.10.2022 10:32:55"
"ATZLVUL";"2097156077";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"21.02.2023 22:50:01";"12.10.2022 13:02:24"
"AZEU-JH-01";"2097156078";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 11 Enterprise";"20.04.2023 16:10:18";"20.04.2023 16:10:17"
"SCCMTR";"2097155748";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"30.08.2023 14:14:22";"26.04.2021 13:20:22"
"SCCMIN";"2097156154";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"20.09.2023 12:55:35";"03.08.2022 11:00:23"
"SCCMVA";"2097156155";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"21.09.2023 08:43:21";"26.04.2021 13:21:59"
"SCCMKK";"2097155832";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"Maschinenbau";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"22.09.2023 01:17:46";"26.04.2021 12:02:49"
"ISE-TEST03";"2097156158";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"27.09.2023 07:26:06";"15.09.2023 07:43:02"
"ISE-TEST04";"2097156159";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"27.09.2023 07:26:17";"15.09.2023 09:28:56"
"ISE-TEST05";"2097156160";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"27.09.2023 07:26:18";"15.09.2023 09:31:26"
"A4O-01";"2097156189";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"17.10.2023 20:53:53";"28.08.2023 16:44:04"
"A4O-02";"2097156188";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"17.10.2023 22:46:18";"28.08.2023 16:44:05"
"ATUBVUL";"2097156226";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"02.11.2023 07:43:50";"10.03.2022 10:11:17"
"AZEU-AMS-KB-01";"2097156235";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 11 Enterprise multi-session";"08.11.2023 08:36:22";"06.10.2023 10:47:53"
"PC684";"2097156261";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"26.11.2023 16:03:54";"05.12.2018 13:36:54"
"AZEU-AMS-RP-01";"2097156276";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"15.12.2023 08:30:39";"15.12.2023 08:30:35"
"PC449";"2097156296";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"17.12.2023 12:53:15";"01.04.2014 08:29:43"
"LP816";"2097156292";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"18.12.2023 07:05:54";"28.03.2022 12:40:19"
"LP469";"2097156295";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"20.12.2023 14:59:00";"12.02.2018 15:31:40"
"PC1428";"2097156282";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"21.12.2023 11:44:30";"17.11.2023 08:54:37"
"PC455";"2097156337";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"02.01.2024 08:45:41";"12.05.2014 10:21:43"
"PC899";"2097156351";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"08.01.2024 07:19:18";"02.03.2021 13:09:42"
"PC1162";"2097156350";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"10.01.2024 06:18:13";"02.01.2023 13:43:29"
"LP523";"2097156335";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"10.01.2024 10:36:59";"05.12.2018 07:49:52"
"PC1446";"2097156366";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"16.01.2024 15:42:39";"16.01.2024 15:42:37"
"PC995";"2097156353";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"18.01.2024 05:56:30";"12.05.2021 12:46:47"
"LP665";"2097156364";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 11 Pro";"18.01.2024 07:04:13";"19.04.2023 09:48:41"
"PC303";"2097156231";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"18.01.2024 12:01:00";"18.01.2024 12:01:00"
"LP962";"2097156365";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"Maschinenbau";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"19.01.2024 07:53:18";"16.02.2023 13:39:58"
"LP510";"2097156376";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"22.01.2024 06:24:18";"19.09.2018 12:46:46"
