"Name";"MachineID";"SerialNumber";"MACAddress";"DeviceOS";"DeviceOSBuild";"IsActive";"ClientVersion";"ClientActiveStatus";"ClientRemediationSuccess";"IsVirtualMachine";"ADSiteName";"LastSuccessSyncTimeUTC";"LastStatusMessage";"LastMPServerName";"LastPolicyRequest";"LastDDR";"LastHardwareScan";"LastSoftwareScan";"LastActiveTime";"LastClientCheckTime";"ClientCheckPass";"OperatingSystem";"LastLogon";"whenCreated"
"LP949";"16779182";"H29R7S3";"28:6B:35:7C:62:58";"Microsoft Windows NT Workstation 10.0";"10.0.19045.4170";"1";"5.00.9122.1000";"0";"2";"False";"Trnovec";"";"18.04.2024 18:58:02";"ATKLSCCM.KOSTWEINGROUP.INTERN";"22.04.2024 06:30:06";"21.04.2024 07:05:52";"22.04.2024 05:53:02";"21.04.2024 20:02:46";"22.04.2024 06:30:06";"21.04.2024 13:30:45";"2";"Windows 10 Pro";"21.04.2024 07:11:59";"17.01.2023 06:13:42"
"LP292";"16778299";"GCS7462";"B8:86:87:E8:23:F5";"Microsoft Windows NT Workstation 10.0";"10.0.19045.3930";"1";"5.00.9122.1000";"1";"";"False";"Trnovec";"";"29.04.2024 06:40:17";"ATKLSCCM.KOSTWEINGROUP.INTERN";"03.05.2024 11:30:20";"03.05.2024 04:05:14";"02.05.2024 11:13:23";"03.05.2024 05:57:33";"03.05.2024 11:30:20";"03.05.2024 06:00:07";"2";"Windows 10 Pro";"23.04.2024 15:06:04";"03.11.2015 08:00:49"
"LP1062";"16779804";"114YFX3";"F4:6D:3F:8A:10:83";"Microsoft Windows NT Workstation 10.0";"10.0.19045.4291";"1";"5.00.9122.1000";"1";"2";"False";"Maschinenbau";"";"25.04.2024 03:32:48";"ATKLSCCM.KOSTWEINGROUP.INTERN";"06.05.2024 11:10:21";"05.05.2024 13:49:17";"06.05.2024 04:06:35";"06.05.2024 00:00:19";"06.05.2024 11:10:21";"11.04.2024 01:03:59";"2";"Windows 10 Pro";"27.04.2024 16:30:42";"25.08.2023 12:46:50"
"LP531";"16777888";"B426MQ2";"E4:B9:7A:35:56:4C";"Microsoft Windows NT Workstation 10.0";"10.0.19045.4170";"1";"5.00.9122.1000";"1";"";"False";"Indien";"";"29.04.2024 03:13:16";"ATKLSCCM.KOSTWEINGROUP.INTERN";"04.05.2024 08:52:56";"04.05.2024 03:32:17";"04.05.2024 04:45:10";"03.05.2024 08:09:37";"04.05.2024 08:52:56";"25.04.2024 04:46:01";"2";"Windows 10 Pro";"29.04.2024 06:33:11";"25.10.2018 10:36:45"
"PC1098";"16778946";"91YZ9M3";"A4:BB:6D:93:DB:A9";"Microsoft Windows NT Workstation 10.0";"10.0.19045.4291";"1";"5.00.9122.1000";"1";"";"False";"Maschinenbau";"";"01.05.2024 00:20:46";"ATKLSCCM.KOSTWEINGROUP.INTERN";"02.05.2024 07:50:07";"01.05.2024 00:21:10";"01.05.2024 07:29:39";"30.04.2024 23:33:06";"02.05.2024 07:50:07";"01.05.2024 22:32:34";"2";"Windows 10 Pro";"29.04.2024 11:19:21";"22.08.2022 14:31:52"
"PC1464";"16780233";"2XV5B04";"90:09:DF:74:65:B7";"Microsoft Windows NT Workstation 10.0";"10.0.19045.4291";"1";"5.00.9122.1000";"1";"";"False";"Maschinenbau";"";"02.05.2024 11:45:08";"ATKLSCCM.KOSTWEINGROUP.INTERN";"03.05.2024 08:44:49";"03.05.2024 08:03:51";"30.04.2024 11:53:36";"";"03.05.2024 08:44:49";"01.05.2024 05:11:07";"2";"Windows 10 Pro";"30.04.2024 05:55:24";"30.04.2024 05:55:23"
"PC734";"16777729";"2PYP9X2";"3C:F0:11:64:04:51";"Microsoft Windows NT Workstation 10.0";"10.0.19045.4170";"1";"5.00.9122.1000";"1";"2";"False";"Trnovec";"";"23.04.2024 13:33:37";"ATKLSCCM.KOSTWEINGROUP.INTERN";"06.05.2024 11:09:03";"05.05.2024 21:45:01";"05.05.2024 23:24:57";"05.05.2024 11:43:58";"06.05.2024 11:09:03";"29.04.2024 00:20:22";"2";"Windows 10 Pro";"30.04.2024 07:32:14";"27.05.2019 13:27:34"
"PC630";"16777500";"3GJTYR2";"30:24:32:E5:38:5A, B8:85:84:9E:8B:37";"Microsoft Windows NT Workstation 10.0";"10.0.19045.4046";"1";"5.00.9122.1000";"1";"2";"False";"Voelkermarkt";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"06.05.2024 11:05:54";"05.05.2024 09:39:27";"06.05.2024 03:56:36";"05.05.2024 19:53:27";"06.05.2024 11:05:54";"22.03.2024 19:08:03";"2";"Windows 10 Pro";"30.04.2024 15:52:01";"08.10.2018 16:37:26"
"LP670";"16779578";"CDV5Y93";"50:2F:9B:CC:3C:7E";"Microsoft Windows NT Workstation 10.0";"10.0.19045.4291";"1";"5.00.9122.1000";"1";"2";"False";"Maschinenbau";"";"04.05.2024 21:14:53";"ATKLSCCM.KOSTWEINGROUP.INTERN";"06.05.2024 10:49:49";"05.05.2024 07:21:19";"06.05.2024 01:38:30";"05.05.2024 21:13:13";"06.05.2024 10:49:49";"04.05.2024 20:57:14";"2";"Windows 10 Pro";"01.05.2024 18:32:50";"19.03.2021 13:21:44"
"PC760";"16778415";"9DBRQX2";"3C:F0:11:B8:4F:B1";"Microsoft Windows NT Workstation 10.0";"10.0.19045.4046";"1";"5.00.9122.1000";"1";"2";"False";"Trnovec";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"06.05.2024 11:00:19";"06.05.2024 03:48:34";"03.05.2024 11:55:13";"02.05.2024 22:43:26";"06.05.2024 11:00:19";"22.03.2024 04:12:26";"2";"Windows 10 Pro";"02.05.2024 06:08:45";"04.07.2019 11:00:50"
